Team,1B,2B,3B,BB,CS,CSC,CYC,E,GDP,HP,HR,K,OFAST,R,RBI,SB
2022 Draft Stall Bitch,744,558,72,446,-17,0,10,-78,-80,50,748,-1218,0,666,616,77
Baseball Furies,773,470,57,425,-23,0,0,-70,-84,67,536,-1026,0,627,537,64
Certifiable Trainwrecks,658,392,72,377,-9,0,0,-65,-80,52,548,-1006,0,538,471,33
Chinese Food Sunday,823,532,54,542,-31,0,0,-44,-99,73,792,-1082,0,691,705,95
Knibb High Baseball,825,532,99,555,-31,0,20,-70,-104,62,748,-1240,0,732,714,87
Nice Tatis,826,504,60,458,-37,0,0,-66,-100,58,716,-1243,0,687,687,119
Oliphant's Marauders,644,380,9,400,-14,0,0,-49,-91,48,628,-1059,0,498,537,40
Positional Flexibility,772,560,69,547,-21,0,10,-60,-84,72,740,-1119,0,693,674,79
Saucy Ducks,784,546,54,551,-17,0,0,-62,-114,42,852,-1142,0,730,728,48
Seattle O'Heteros,721,520,24,470,-23,0,0,-80,-125,67,928,-1235,0,712,691,78
Southern Hospitality,873,488,36,425,-24,0,0,-67,-137,72,572,-1126,0,644,598,76
The Kung Fooligans,782,536,42,479,-31,0,10,-62,-116,84,784,-1061,0,677,685,85
