Team,B,BB,BS,CG,ER,H,HB,INN,K,L,NH,PG,PKO,QS,S,SO,W,WP
2022 Draft Stall Bitch,0,-220,-55,0,-358,-717,-41,2355.0,799,-220,0,0,4,255,410,0,235,-30
Baseball Furies,-5,-297,-35,15,-357,-803,-33,2796.0,858,-230,0,0,6,390,530,10,290,-22
Certifiable Trainwrecks,-6,-202,-45,0,-273,-647,-21,2154.0,739,-245,0,0,5,255,350,0,220,-17
Chinese Food Sunday,-3,-253,-40,0,-303,-664,-34,2240.1000000000004,789,-215,0,0,8,220,220,0,205,-22
Knibb High Baseball,0,-256,-25,15,-354,-737,-42,2465.1000000000004,832,-265,0,0,2,265,500,10,275,-26
Nice Tatis,-2,-221,-55,10,-296,-705,-26,2340.8999999999996,761,-220,0,0,2,305,520,0,300,-22
Oliphant's Marauders,-3,-269,-20,0,-337,-784,-19,2508.0,736,-290,0,0,9,330,350,0,255,-27
Positional Flexibility,-3,-257,-20,5,-331,-783,-39,2733.0,834,-235,0,0,4,345,480,10,335,-29
Saucy Ducks,-3,-201,-85,10,-343,-718,-35,2271.8999999999996,734,-235,0,0,3,235,590,0,180,-24
Seattle O'Heteros,0,-252,-30,0,-399,-764,-42,2595.0,879,-280,0,0,13,335,320,0,255,-25
Southern Hospitality,-2,-274,-60,15,-328,-753,-35,2699.1000000000004,899,-205,0,0,8,400,460,0,345,-31
The Kung Fooligans,-4,-269,-40,0,-317,-726,-41,2805.0,1001,-200,0,0,3,440,320,0,325,-29
